uin,incident_year,state,site_category,shark_common_name,shark_scientific_name,provoked_unprovoked,victim_activity
1106,2019,NT,ocean/pelagic,whitetip reef shark,Triaenodon obesus  ,provoked,NA
1107,2019,NSW,coastal,white shark,Carcharodon carcharias ,unprovoked,boarding
1108,2019,QLD,island open ocean,grey reef shark,Carcharhinus amblyrhynchos,unprovoked,snorkelling
1109,2019,NSW,coastal,grey nurse shark,Carcharius taurus,provoked,spearfishing
1110,2019,QLD,coastal,NA,NA,unprovoked,swimming
1111,2019,TAS,island open ocean,white shark,Carcharodon carcharias ,provoked,diving
1112,2019,NSW,coastal,whaler shark,Carcharhinidae,unprovoked,NA
1113,2019,QLD,coastal,tiger shark,Galeocerdo cuvier ,provoked,snorkelling
1114,2019,NSW,coastal,grey nurse shark,Carcharius taurus,unprovoked,swimming
1115,2019,QLD,coastal,bull shark,Carcharhinus leucas,unprovoked,boarding
1116,2019,NSW,coastal,bull shark,Carcharhinus leucas,unprovoked,boarding
1117,2019,NSW,coastal,NA,NA,unprovoked,NA
1118,2019,WA,estuary/harbour,white shark,Carcharodon carcharias ,provoked,spearfishing
1119,2019,QLD,island open ocean,NA,NA,NA,snorkelling
1120,2019,QLD,island open ocean,NA,NA,unprovoked,snorkelling
1121,2019,NSW,coastal,white shark,Carcharodon carcharias ,unprovoked,boarding
1122,2019,QLD,coastal,NA,NA,NA,boarding
1123,2019,QLD,coastal,NA,NA,unprovoked,snorkelling
1124,2019,WA,coastal,NA,NA,NA,NA
1125,2019,NSW,coastal,wobbegong,Orectolobidae,unprovoked,boarding
1126,2019,QLD,island open ocean,lemon shark,Negaprion brevirostris,NA,swimming
1127,2020,WA,island open ocean,white shark,Carcharodon carcharias ,unprovoked,diving
1128,2020,NSW,coastal,bull shark,Carcharhinus leucas,unprovoked,boarding
1129,2020,WA,island open ocean,white shark,Carcharodon carcharias ,provoked,snorkelling
1130,2020,QLD,island open ocean,lemon shark,Negaprion brevirostris,unprovoked,swimming
1131,2020,NSW,coastal,NA,NA,unprovoked,boarding
1132,2020,QLD,island open ocean,lemon shark,Negaprion brevirostris,unprovoked,swimming
1133,2020,NSW,estuary/harbour,wobbegong,Orectolobidae,unprovoked,swimming
1134,2020,QLD,island open ocean,NA,NA,unprovoked,swimming
1135,2020,WA,coastal,bull shark,Carcharhinus leucas,unprovoked,boarding
1136,2020,NSW,coastal,bull shark,Carcharhinus leucas,unprovoked,boarding
1137,2020,VIC,coastal,whaler shark,Carcharhinidae,unprovoked,boarding
1138,2020,NSW,coastal,white shark,Carcharodon carcharias ,unprovoked,boarding
1139,2020,WA,coastal,NA,NA,unprovoked,boarding
1140,2020,NSW,coastal,white shark,Carcharodon carcharias ,unprovoked,boarding
1141,2020,NSW,coastal,bronze whaler shark,Carcharhinus brachyurus,provoked,spearfishing
1142,2020,NSW,coastal,bronze whaler shark,Carcharhinus brachyurus,provoked,spearfishing
1143,2020,NSW,coastal,bronze whaler shark,Carcharhinus brachyurus,provoked,spearfishing
1144,2020,WA,coastal,white shark,Carcharodon carcharias ,unprovoked,NA
1145,2020,QLD,island open ocean,whaler shark,Carcharhinidae,unprovoked,swimming
1146,2020,QLD,coastal,whaler shark,Carcharhinidae,provoked,snorkelling
1147,2020,TAS,coastal,white shark,Carcharodon carcharias ,provoked,fishing
1148,2020,NSW,coastal,dusky shark,Carcharhinus obscurus,unprovoked,swimming
1149,2020,NSW,coastal,white shark,Carcharodon carcharias ,unprovoked,boarding
1150,2020,NSW,coastal,white shark,Carcharodon carcharias ,unprovoked,boarding
1151,2020,QLD,coastal,white shark,Carcharodon carcharias ,unprovoked,NA
1152,2020,NSW,coastal,white shark,Carcharodon carcharias ,provoked,boarding
1153,2020,NSW,coastal,whaler shark,Carcharhinidae,unprovoked,other: standing in water
1154,2020,NSW,coastal,wobbegong,Orectolobidae,unprovoked,boarding
1155,2020,NSW,coastal,white shark,Carcharodon carcharias ,unprovoked,diving
1156,2020,NSW,coastal,whaler shark,Carcharhinidae,unprovoked,boarding
1157,2020,QLD,island open ocean,bull shark,Carcharhinus leucas,provoked,spearfishing
1158,2020,WA,coastal,white shark,Carcharodon carcharias ,unprovoked,boarding
1159,2020,WA,coastal,bull shark,Carcharhinus leucas,unprovoked,boarding
1160,2020,QLD,island open ocean,hammerhead shark,Sphyrnidae,provoked,fishing
1161,2020,NSW,coastal,wobbegong,Orectolobidae,unprovoked,boarding
1162,2020,WA,coastal,bull shark,Carcharhinus leucas,unprovoked,boarding
1163,2020,SA,island open ocean,white shark,Carcharodon carcharias ,unprovoked,boarding
1164,2021,NSW,river,bull shark,Carcharhinus leucas,unprovoked,swimming
1165,2021,WA,coastal,wobbegong,Orectolobidae,unprovoked,swimming
1166,2021,WA,river,bull shark,Carcharhinus leucas,unprovoked,swimming
1167,2021,WA,coastal,wobbegong,Orectolobidae,unprovoked,boarding
1168,2021,NSW,coastal,wobbegong,Orectolobidae,unprovoked,boarding
1169,2021,WA,coastal,wobbegong,Orectolobidae,provoked,spearfishing
1170,2021,NSW,coastal,NA,NA,unprovoked,swimming
1171,2021,WA,coastal,bull shark,Carcharhinus leucas,provoked,spearfishing
1172,2021,WA,coastal,blacktip reef shark,Carcharhinus melanopterus,unprovoked,boarding
1173,2021,WA,coastal,blacktip reef shark,Carcharhinus melanopterus,unprovoked,swimming
1174,2021,WA,coastal,tiger shark,Galeocerdo cuvier ,provoked,spearfishing
