year,park,month,visits
2012,jtnp,jun,72981
2012,jtnp,jul,74748
2012,jtnp,aug,68027
2012,jtnp,sep,79377
2012,jtnp,oct,104590
2012,jtnp,nov,145103
2012,jtnp,dec,130986
2011,jtnp,jan,116050
2011,jtnp,feb,119977
2011,jtnp,mar,194339
2011,jtnp,apr,195244
2011,jtnp,may,124339
2011,jtnp,jun,81534
2011,jtnp,jul,74707
2011,jtnp,aug,64969
2011,jtnp,sep,71694
2011,jtnp,oct,102752
2011,jtnp,nov,135131
2011,jtnp,dec,115501
2010,jtnp,jan,106932
2010,jtnp,feb,123925
2010,jtnp,mar,207336
2010,jtnp,apr,190427
2010,jtnp,may,131035
2010,jtnp,jun,76320
2010,jtnp,jul,72789
2010,jtnp,aug,80053
2010,jtnp,sep,81596
2010,jtnp,oct,117098
2010,jtnp,nov,134653
2010,jtnp,dec,112812
2009,jtnp,jan,98513
2009,jtnp,feb,97112
2009,jtnp,mar,171428
2009,jtnp,apr,177361
2009,jtnp,may,123705
2009,jtnp,jun,74463
2009,jtnp,jul,65923
2009,jtnp,aug,67161
2009,jtnp,sep,79011
2009,jtnp,oct,119870
2009,jtnp,nov,126299
2009,jtnp,dec,103625
2008,jtnp,jan,102205
2008,jtnp,feb,127998
2008,jtnp,mar,260407
2008,jtnp,apr,177975
2008,jtnp,may,113044
2008,jtnp,jun,60395
2008,jtnp,jul,64621
2008,jtnp,aug,66032
2008,jtnp,sep,78831
2008,jtnp,oct,117308
2008,jtnp,nov,129558
2008,jtnp,dec,94072
2007,jtnp,jan,95278
2007,jtnp,feb,124960
2007,jtnp,mar,149974
2007,jtnp,apr,166256
2007,jtnp,may,105744
2007,jtnp,jun,68848
2007,jtnp,jul,68325
2007,jtnp,aug,73565
2007,jtnp,sep,76578
2007,jtnp,oct,107220
2007,jtnp,nov,156581
2007,jtnp,dec,105650
2006,jtnp,jan,104777
2006,jtnp,feb,117045
2006,jtnp,mar,152137
2006,jtnp,apr,189636
2006,jtnp,may,108837
2006,jtnp,jun,67150
2006,jtnp,jul,46833
2006,jtnp,aug,58973
2006,jtnp,sep,73089
2006,jtnp,oct,105927
2006,jtnp,nov,128990
2006,jtnp,dec,103027
2005,jtnp,jan,89602
2005,jtnp,feb,107227
2005,jtnp,mar,267723
2005,jtnp,apr,207664
2005,jtnp,may,126323
2005,jtnp,jun,76272
2005,jtnp,jul,50610
2005,jtnp,aug,66270
2005,jtnp,sep,70188
2005,jtnp,oct,101034
2005,jtnp,nov,113626
2005,jtnp,dec,98572
2004,jtnp,jan,113881
2004,jtnp,feb,112696
2004,jtnp,mar,175444
2004,jtnp,apr,183679
2004,jtnp,may,103122
2004,jtnp,jun,64776
2004,jtnp,jul,59155
2004,jtnp,aug,59699
2004,jtnp,sep,67954
2004,jtnp,oct,104369
2004,jtnp,nov,112344
2004,jtnp,dec,86540
